Rooms,Bathroom,Landsize,BuildingArea,YearBuilt,Price
3,1,798,132,1960,1362000
3,2,306,170,1995,1472000
3,1,821,106,1974,738000
3,2,395,149,1880,2500000
5,2,558,239,1987,900000
1,1,0,57,2004,425000
2,1,0,72,2016,350000
2,1,781,82,2013,420000
2,1,100,90,2013,370000
2,2,115,115,2015,1275000
3,1,390,86,1955,532000
3,2,0,102,1980,752000
1,1,0,62,1930,482000
4,4,500,267,2011,1100000
2,1,390,102,1935,1585000
2,1,176,84,1940,1200000
2,1,0,85,1900,698000
2,1,359,98.5,1991,745000
3,2,663,127.8,1970,1360000
3,1,531,100,1960,484000
3,1,479,128,1930,1360000
3,1,693,134,1950,1070000
2,1,0,79,1970,537000
4,3,649,227,1920,2325000
5,2,381,286,1985,1020000
3,2,603,166,1945,1430000
1,1,0,43,2012,327000
4,2,843,181,1940,1020000
4,2,214,189,2010,651000
3,1,534,129,1960,544000
4,3,856,265,1920,3400000
3,2,649,150,1965,1202000
3,2,211,198,1890,2850000
2,1,662,98,1960,575500
2,1,0,62,1960,523000
3,1,576,105,1983,512000
3,2,207,144,2012,918000
3,2,368,226,1880,2400000
3,1,665,104,1970,750000
2,1,193,80,1970,740000
1,1,87,66,1980,947500
6,3,850,254,1980,615000
3,2,249,140,2005,890000
4,2,441,255,2002,1020000
3,1,700,115,1960,1210000
4,1,571,138,1915,1120000
1,1,0,46,1960,305000
3,1,650,142,1960,580000
5,3,1572,305,1890,3700000
3,1,698,114,1960,890000
3,1,899,143,1960,2315000
3,2,0,96,2000,650000
3,2,627,140,1950,1050000
3,2,120,126,2010,1250000
3,2,287,210.68,2002,950000
4,2,631,233,1935,1720000
2,1,0,39,2014,330000
4,2,815,140,1960,760000
3,2,330,226,2012,1210000
2,1,174,72,1900,960000
4,3,367,334,2015,1200000
2,1,135,76,1970,599900
3,1,2027,187,1964,3400000
2,1,745,72,1968,610000
5,2,790,291,1990,1660000
3,2,590,151,1981,870000
4,1,704,196,1960,840000
2,1,116,85,1960,850000
5,4,886,520,2013,3250000
5,2,994,274,1935,1700000
3,2,195,91,2000,422500
3,1,572,130,1930,1225000
2,1,135,100,2012,550500
4,2,458,153,1930,1280000
3,1,503,101,1950,600000
3,2,737,207,1915,3572000
2,1,131,76,1975,677000
2,2,1965,103,2000,631000
3,1,179,108,2002,450000
4,3,948,249,1960,1740000
4,3,622,160,1940,1760000
3,1,276,105,1925,1190000
2,1,0,55,2014,300000
1,1,6494,77.5,1965,360000
3,2,473,171,1920,1320000
3,1,278,91,1910,1125000
3,2,165,133,2009,700000
4,2,357,270,2015,2750000
2,1,136,78,2000,790000
3,2,145,138,1880,1400000
3,1,354,117,1880,1650000
3,1,210,121,2012,555000
2,1,154,2,2005,545000
4,2,603,148,1920,1479000
2,1,208,129,2000,1255000
2,1,159,70,2000,416000
1,1,0,44,1960,360500
2,1,2020,68,1998,450000
2,1,0,75,2010,420000
2,1,1140,80,2010,501000
